start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 84 / 100000, Score: 14100,  block: 301,  Reward: -106.2262 Cleared lines: 122, col: 74/24/0/0 
Epoch: 85 / 100000, Score: 15000,  block: 301,  Reward: -141.2279 Cleared lines: 120, col: 69/22/1/1 
Epoch: 86 / 100000, Score: 1900,  block: 69,  Reward: -74.1354 Cleared lines: 19, col: 9/5/0/0 
Epoch: 87 / 100000, Score: 14700,  block: 301,  Reward: -120.5030 Cleared lines: 122, col: 67/26/1/0 
Epoch: 88 / 100000, Score: 14000,  block: 301,  Reward: -117.3598 Cleared lines: 120, col: 75/21/1/0 
Epoch: 89 / 100000, Score: 14900,  block: 301,  Reward: -146.0941 Cleared lines: 120, col: 76/17/2/1 
Epoch: 90 / 100000, Score: 14600,  block: 301,  Reward: -107.5220 Cleared lines: 121, col: 76/18/3/0 
Epoch: 91 / 100000, Score: 14500,  block: 301,  Reward: -117.9367 Cleared lines: 120, col: 75/18/3/0 
Epoch: 92 / 100000, Score: 14600,  block: 301,  Reward: -155.2790 Cleared lines: 121, col: 71/22/2/0 
Epoch: 93 / 100000, Score: 17100,  block: 301,  Reward: -122.7676 Cleared lines: 120, col: 57/19/7/1 
Epoch: 94 / 100000, Score: 13400,  block: 301,  Reward: -107.9668 Cleared lines: 120, col: 87/15/1/0 
Epoch: 95 / 100000, Score: 15200,  block: 301,  Reward: -117.0924 Cleared lines: 119, col: 72/17/3/1 
Epoch: 96 / 100000, Score: 4800,  block: 134,  Reward: -93.8257 Cleared lines: 42, col: 25/7/1/0 
Epoch: 97 / 100000, Score: 6500,  block: 170,  Reward: -121.5574 Cleared lines: 58, col: 39/8/1/0 
Epoch: 98 / 100000, Score: 13500,  block: 301,  Reward: -123.6686 Cleared lines: 120, col: 85/16/1/0 
Epoch: 99 / 100000, Score: 15100,  block: 301,  Reward: -141.9632 Cleared lines: 120, col: 68/20/4/0 
Epoch: 100 / 100000, Score: 14700,  block: 301,  Reward: -161.4940 Cleared lines: 121, col: 69/23/2/0 
Epoch: 101 / 100000, Score: 14700,  block: 301,  Reward: -153.7529 Cleared lines: 120, col: 66/24/2/0 
Epoch: 102 / 100000, Score: 5000,  block: 142,  Reward: -98.7548 Cleared lines: 47, col: 36/4/1/0 
Epoch: 103 / 100000, Score: 15400,  block: 301,  Reward: -137.5558 Cleared lines: 121, col: 74/17/3/1 
Epoch: 104 / 100000, Score: 15100,  block: 301,  Reward: -133.6053 Cleared lines: 122, col: 74/18/4/0 
Epoch: 105 / 100000, Score: 15900,  block: 301,  Reward: -164.9336 Cleared lines: 120, col: 70/18/2/2 
Epoch: 106 / 100000, Score: 14000,  block: 301,  Reward: -140.3830 Cleared lines: 120, col: 80/17/2/0 
Epoch: 107 / 100000, Score: 14100,  block: 301,  Reward: -142.4831 Cleared lines: 122, col: 79/20/1/0 
Epoch: 108 / 100000, Score: 15000,  block: 301,  Reward: -122.3488 Cleared lines: 120, col: 79/14/3/1 
